id,Lat,Lon,VAP,RHU,PRS,PWV,dataset
49,25.41,112.94,21.25,86,982.6,55.4,train
50,25.44,113.49,19.83,98,939.6,35.604,test
51,25.45,112.43,20.81,99,956.2,31.5802,train
52,25.46,113.69,19.83,98,936.2,40.3289,train
53,25.47,111.8,22.42,93,983.1,42.0178,train
54,25.47,112.34,21.56,94,978.8,44.8982,train
55,25.47,112.61,19.61,100,939,33.145,test
56,25.47,113.12,21.39,98,967.4,43.2179,train
57,25.48,112.01,22.94,100,980.9,51.1334,train
58,25.49,111.39,20.6,98,967.7,47.1149,train
59,25.49,113.65,19.76,94,939.6,36.6662,train
60,25.51,111.65,21.66,91,987.1,45.2487,test
61,25.51,112.38,21.66,95,979.6,41.3816,train
62,25.51,112.65,18.64,100,929.9,44.2697,train
63,25.52,111.7,21.83,94,985.8,49.6649,train
64,25.52,112.46,21.23,92,975.3,41.679,train
65,25.52,112.76,16.29,100,878.8,36.5361,test
66,25.52,113.91,22.25,97,967.6,35.4451,train
67,25.53,111.6,22.14,93,986.2,52.6,train
68,25.53,112.8,16.18,100,875.1,36.8845,train
69,25.53,113.37,20.73,95,954,29.4227,train
70,25.55,111.7,22.48,98,986.4,50.4257,test
71,25.55,112.89,18.04,92,918.4,23.6373,train
72,25.56,113.69,20.24,100,935.5,53.2,train
73,25.57,112.72,20.77,94,968.3,45.5023,train
74,25.58,112.37,24.1,100,983.8,44.5623,train
75,25.58,112.4,20.81,93,972.5,44.0732,test
76,25.59,111.96,21.93,91,980.2,52.7,train
77,25.59,112.23,20.9,90,963.2,45.7582,train
78,25.59,113.63,20.09,95,937.7,39.4887,train
79,25.6,112.71,21.17,97,967.2,46.1321,train
80,25.61,113.04,21.15,100,968.1,45.9601,test
81,25.61,113.95,22.76,98,974.8,34.3865,train
82,25.62,111.61,21.32,89,986.2,41.9314,train
83,25.62,112.28,21.73,93,975.7,47.8523,train
84,25.62,112.93,19.84,95,953,46.9614,train
85,25.62,113.75,19.8,96,937.8,37.62,test
86,25.64,111.37,22.01,99,972,39.7387,train
87,25.64,112.34,22.28,93,984.8,41.4326,train
88,25.65,111.92,21.27,91,982.4,42.1268,train
89,25.65,112.65,22.8,100,970.4,54.3259,train
90,25.65,112.73,22.11,97,978.2,42.4651,test
91,25.66,112.13,22.24,100,962.7,59.924,train
92,25.66,112.84,20.46,92,971.5,48.1639,train
93,25.67,111.81,21.53,91,982.9,49.9654,train
94,25.67,112.99,23.37,100,982.3,48.5949,train
95,25.68,112.49,21.83,94,985.1,35.869,test
96,25.68,112.7,21.07,93,974.2,43.5878,train
97,25.68,113.15,18.4,100,917.3,42.3801,train
98,25.68,113.49,22.62,98,973.7,35.2557,train
99,25.69,112.45,23.42,99,982.5,50.5439,train
100,25.7,111.64,21.3,94,973.6,42.8852,test
101,25.71,112.5,22.3,96,988.3,46.5846,train
102,25.71,112.88,20.64,90,973.4,45.9376,train
103,25.71,113.72,21.63,92,971.9,33.4336,train
104,25.73,112.09,20.12,84,970.3,26.5264,train
105,25.73,113.4,21.16,90,974.7,47.5403,test
106,25.73,113.84,20.55,93,953.9,28.0963,train
107,25.74,112.4,21,85,985.2,52.4717,train
108,25.74,112.85,21.83,94,978,37.4044,train
