id,Lat,Lon,VAP,RHU,PRS,PWV,dataset
371,26.78,113.75,23.04,95,986.1,46.3628,train
372,26.79,110.18,19.57,88,959.6,33.9103,train
373,26.79,112.56,22.9,91,998,50.0009,train
374,26.79,112.87,24.28,93,997.5,50.4052,train
375,26.79,113.13,22.56,88,993.9,53.2743,test
376,26.79,113.21,23.58,92,996.1,55.18,train
377,26.79,113.54,22.16,87,992.1,40.7357,train
378,26.8,111.72,23.29,92,989.2,50.2231,train
379,26.8,113.28,23.01,92,995.9,50.291,train
380,26.81,110.34,21.74,99,956.4,40.2222,test
381,26.82,111.46,20.01,82,967.2,31.6288,train
382,26.82,111.76,21.14,83,992.7,47.2075,train
383,26.82,112.02,21.56,90,983.4,49.2064,train
384,26.82,113.43,24.25,100,989.2,57.9,train
385,26.82,113.53,25.48,100,994.6,40.3694,test
386,26.83,110.08,17.34,77,975.6,40.139,train
387,26.83,110.52,21.69,100,966.5,35.0663,train
388,26.83,112.64,21.91,86,1000,35.634,train
389,26.84,111.84,21.63,87,992.4,45.8141,train
390,26.84,112.37,22.19,85,997.1,48.983,test
391,26.84,113.82,21.82,100,948.5,41.2685,train
392,26.85,111.68,20.01,73,989.9,31.3737,train
393,26.85,112.46,22.28,88,999.1,40.339,train
394,26.85,112.51,22.16,87,998.8,43.1472,train
395,26.85,113.56,23.9,91,992.6,44.6582,test
396,26.85,113.74,22.34,91,987.6,45.3033,train
397,26.86,112.17,21.25,86,984.4,45.684,train
398,26.88,109.72,20.54,89,976.8,51.3,train
399,26.88,112.71,22.18,86,1000.5,54.8352,train
400,26.88,112.77,22.69,93,996.5,48.9729,test
401,26.89,110.94,21.2,99,971.7,33.8323,train
402,26.89,112.6,20.35,77,996.3,38.7712,train
403,26.89,113.02,20.13,82,985.6,45.9376,train
404,26.9,110.24,19.54,99,926.2,31.4923,train
405,26.9,111.65,20.69,88,984.8,44.8105,test
406,26.9,112.94,21.8,91,993.7,52.7613,train
407,26.9,113.18,21.01,80,998.2,38.8151,train
408,26.9,113.87,12.61,52,975.5,23.2359,train
409,26.91,110.41,21.12,98,962.5,35.7473,train
410,26.91,113.66,25.17,100,992,48.3454,test
411,26.92,111.89,20.94,93,983.6,51.0675,train
412,26.92,111.96,21.33,93,979.5,50.8259,train
413,26.92,112.22,23.85,87,993.8,47.3072,train
414,26.93,110.33,13.12,64,952.1,21.3805,train
415,26.93,111.69,20.26,82,989.7,34.2225,test
416,26.93,112.1,22.8,94,990.6,43.926,train
417,26.93,112.49,21.91,86,997.2,50.7984,train
418,26.93,113.59,21.63,87,985.8,35.6757,train
419,26.93,113.87,24.71,100,984,42.3524,train
420,26.94,110.67,22.37,100,973,42.1434,test
421,26.94,110.79,22.37,100,974.6,46.1463,train
422,26.94,111.84,20.73,86,986.9,45.8748,train
423,26.94,112.82,23.69,93,1000.4,57.5505,train
424,26.94,113.33,24.81,98,996.3,57.2631,train
425,26.94,113.55,19.97,86,974.1,31.7438,test
426,26.95,112.71,22.33,80,1001.6,49.8372,train
427,26.95,113.16,24.16,96,999,49.8595,train
428,26.95,113.42,24.55,100,996,39.0055,train
429,26.96,110.03,24.55,100,983.5,50.0251,train
430,26.96,112.57,21.14,83,1001.3,50.7662,test
431,26.97,109.74,21.16,94,971,39.1858,train
432,26.97,112.37,21.8,84,997.8,44.2491,train
433,26.98,109.77,22.43,96,971.3,43.2446,train
434,26.98,111.14,21.66,98,973.6,48.4307,train
435,26.98,111.76,20.46,87,984.9,48.6896,test
436,26.98,112.5,21.41,83,1000.7,46.0394,train
437,26.98,112.59,21.66,84,994.5,51.5,train
438,26.98,112.81,23.26,88,997.9,57.229,train
439,26.98,113.12,20.78,74,998.3,42.5641,train
440,26.98,113.3,25.9,98,999,54.8129,test
441,26.98,113.8,25.22,99,988.3,54.1965,train
442,27,111.29,21.79,98,968.1,49.5,train
443,27,112.3,22.23,90,996.7,42.6421,train
444,27.01,109.84,21.61,96,964.6,52.9403,train
445,27.01,110.73,22.01,99,973.6,38.6388,test
446,27.01,113.78,21.93,91,981.1,32.3045,train
447,27.02,110.82,22.57,99,977.8,41.8122,train
448,27.02,111.67,21.82,100,956.6,35.4623,train
449,27.02,112.46,21.74,88,997.7,49.7327,train
450,27.03,110.61,21.96,100,969.8,46.5,test
451,27.03,113.66,22.24,100,961,46.7229,train
452,27.04,111.58,22.24,100,969.7,49.727,train
453,27.04,112.17,24.55,100,991.1,40.1874,train
454,27.05,112.55,21.78,86,995.8,46.9743,train
455,27.05,112.98,23.79,90,995.4,51.9,test
456,27.06,113.04,22.21,82,1000.2,42.5437,train
457,27.06,113.35,24.66,98,994.6,50.1,train
458,27.06,113.55,20.73,95,959.3,44.102,train
459,27.07,110.35,20.39,97,954.2,37.468,train
460,27.07,111.79,22.66,100,976.3,38.6544,test
461,27.07,112.41,22.51,90,996.9,56.8281,train
462,27.07,112.84,25.69,99,1000.2,51.7316,train
463,27.08,112.67,21.47,88,996.5,51.8948,train
464,27.09,113.3,25.63,100,998.7,51.5154,train
465,27.1,108.96,21.96,100,953.1,49.601,test
466,27.1,111.7,21.74,99,961.4,35.0454,train
467,27.1,112.09,20.24,85,985.1,46.4528,train
468,27.1,112.75,25.95,100,999,53.5069,train
469,27.1,113.14,20.1,77,994.2,46.2929,train
470,27.11,111.03,20.04,89,973.3,44.6,test
471,27.12,109.62,23.86,99,979.8,42.4516,train
472,27.12,109.7,22.71,99,985.5,42.4591,train
473,27.12,109.98,20.47,98,947.5,39.7542,train
474,27.12,112.59,21.56,94,989.1,50.919,train
475,27.12,113.53,22.42,93,989.8,39.9123,test
476,27.13,111.94,22.99,99,988.6,42.9394,train
477,27.13,112.69,21.77,92,991,55.6511,train
478,27.13,113.67,22.37,100,978,48.9557,train
479,27.14,109.97,21.77,92,986.4,42.4056,train
480,27.14,113.23,21.8,83,995.1,48.9867,test
481,27.15,110.73,22.1,100,972.8,32.1231,train
482,27.15,112.29,22.01,88,996.9,43.169,train
483,27.15,112.42,22.83,93,999.2,54.3879,train
484,27.15,112.8,23.18,95,997.4,56.0125,train
485,27.15,113.37,22.95,89,997.2,44.1526,test
486,27.15,113.53,22.2,95,990.7,32.7296,train
487,27.15,113.66,23.08,100,983.8,45.5441,train
488,27.16,113.31,22.06,85,991.8,38.201,train
489,27.17,111.9,22.86,96,979.6,49.8279,train
490,27.18,109.13,20.3,93,960.8,33.4128,test
491,27.18,111.45,21.12,95,973.3,46.8137,train
492,27.18,113.15,20.64,81,993.3,44.2014,train
493,27.19,110.17,21.55,100,973,41.5797,train
494,27.19,110.4,22.24,100,952.1,47.9277,train
495,27.19,111.58,23.08,100,981.1,41.8668,test
496,27.19,112.23,27.25,100,994.2,57.6529,train
497,27.2,112.49,24.25,100,998.2,57.0274,train
498,27.2,113.19,22.89,82,994.2,38.4571,train
499,27.21,109.84,20.74,91,980.4,40.3878,train
500,27.21,111.45,22.94,100,978.7,45.2955,test
501,27.21,111.58,22.76,98,981.9,39.9505,train
502,27.21,112.87,23.67,97,999.2,53.8219,train
503,27.21,113.58,22.86,96,984.3,49.6588,train
504,27.22,110.67,21.88,99,969.4,48.9697,train
505,27.22,112.31,21.06,89,987.2,52.311,test
506,27.22,112.75,22.07,91,998.9,51.7673,train
507,27.22,113.03,22.55,93,997.7,53.3868,train
508,27.22,113.11,22.62,95,992.8,55.8764,train
509,27.22,113.73,21.88,99,975.1,42.9128,train
510,27.22,113.8,21.28,100,959.7,40.9079,test
511,27.23,109.29,20.21,98,955.2,33.4177,train
512,27.23,109.73,21.88,96,977,46.35,train
513,27.23,113.3,23.73,92,989,53.5809,train
514,27.23,113.43,21.65,85,995.3,47.3145,train
515,27.24,111.37,17.68,79,980.3,29.1095,test
516,27.24,111.74,22.37,100,974,46.1,train
517,27.24,112.84,20.33,87,968.9,45.8483,train
518,27.25,112.36,21.83,94,993.2,44.1086,train
519,27.25,113.22,19.51,94,949.1,27.6026,train
