id,Lat,Lon,rh,sp,t2m,PWV,dataset
415,26.93,111.69,73.18,98339.71,20.46,34.2225,test
416,26.93,112.1,73.36,98581.55,20.56,43.926,train
417,26.93,112.49,74.74,99370.91,20.99,50.7984,train
418,26.93,113.59,77.59,97468.79,20.13,35.6757,train
419,26.93,113.87,77.63,96096.39,19.62,42.3524,train
420,26.94,110.67,73.29,98324.43,20.46,42.1434,test
421,26.94,110.79,73.29,98324.43,20.46,46.1463,train
422,26.94,111.84,73.29,98324.43,20.46,45.8748,train
423,26.94,112.82,76.75,99317.07,21.13,57.5505,train
424,26.94,113.33,77.16,98354.35,20.6,57.2631,train
425,26.94,113.55,77.66,97702.91,20.23,31.7438,test
426,26.95,112.71,76.1,99464.99,21.17,49.8372,train
427,26.95,113.16,76.88,98658.43,20.76,49.8595,train
428,26.95,113.42,77.69,98171.55,20.49,39.0055,train
429,26.96,110.03,73.52,98293.87,20.45,50.0251,train
430,26.96,112.57,75.42,99349.67,21.04,50.7662,test
431,26.97,109.74,73.64,98278.59,20.45,39.1858,train
432,26.97,112.37,74.79,99087.87,20.86,44.2491,train
433,26.98,109.77,73.76,98263.31,20.44,43.2446,train
434,26.98,111.14,73.76,98263.31,20.44,48.4307,train
435,26.98,111.76,73.76,98263.31,20.44,48.6896,test
436,26.98,112.5,75.4,99299.39,21,46.0394,train
437,26.98,112.59,75.86,99348.23,21.07,51.5,train
438,26.98,112.81,77.03,99346.15,21.17,57.229,train
439,26.98,113.12,77.1,98756.83,20.85,42.5641,train
440,26.98,113.3,77.33,98387.55,20.61,54.8129,test
441,26.98,113.8,77.73,96445.55,19.72,54.1965,train
442,27,111.29,73.99,98232.75,20.43,49.5,train
443,27,112.3,74.96,98923.55,20.77,42.6421,train
444,27.01,109.84,74.03,98221.07,20.43,52.9403,train
445,27.01,110.73,74.03,98221.07,20.43,38.6388,test
446,27.01,113.78,77.97,96553.79,19.75,32.3045,train
447,27.02,110.82,74.07,98209.39,20.42,41.8122,train
448,27.02,111.67,74.07,98209.39,20.42,35.4623,train
449,27.02,112.46,75.61,99171.79,20.96,49.7327,train
450,27.03,110.61,74.11,98197.71,20.42,46.5,test
451,27.03,113.66,78.77,97068.39,19.94,46.7229,train
452,27.04,111.58,74.15,98186.03,20.41,49.727,train
453,27.04,112.17,74.74,98598.59,20.64,40.1874,train
454,27.05,112.55,76.55,99241.55,21.03,46.9743,train
455,27.05,112.98,77.92,99085.23,21.09,51.9,test
456,27.06,113.04,78.11,99030.27,21.04,42.5437,train
457,27.06,113.35,78.52,98366.03,20.58,50.1,train
458,27.06,113.55,79.76,97635.83,20.19,44.102,train
459,27.07,110.35,74.27,98150.99,20.4,37.468,train
460,27.07,111.79,74.27,98150.99,20.4,38.6544,test
461,27.07,112.41,75.7,99029.19,20.92,56.8281,train
462,27.07,112.84,78.04,99218.31,21.15,51.7316,train
463,27.08,112.67,77.64,99297.59,21.13,51.8948,train
464,27.09,113.3,78.67,98508.67,20.66,51.5154,train
465,27.1,108.96,74.39,98115.95,20.38,49.601,test
