id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset,PWV,formatted_time
126,P7841,2025/06/03 00:00,25.81,112.33,163.0,永州市,程家,新田县,21.56,90,987.1,20.4,41.4949,train,41.4949,2025-06-03 00:00:00
127,P8440,2025/06/03 00:00,25.81,113.04,184.0,郴州市,苏仙岭,苏仙区,21.77,92,985.8,20.2,50.1289,train,50.1289,2025-06-03 00:00:00
128,P8411,2025/06/03 00:00,25.82,112.75,215.4,郴州市,樟市,桂阳县,21.77,92,983.1,20.2,36.5133,train,36.5133,2025-06-03 00:00:00
129,P8439,2025/06/03 00:00,25.82,113.1,202.0,郴州市,香山坪,苏仙区,23.51,100,985.7,20.1,55.1027,train,55.1027,2025-06-03 00:00:00
130,P7779,2025/06/03 00:00,25.83,111.99,247.4,永州市,柏家坪,宁远县,21.37,92,978.8,19.9,41.5373,test,41.5373,2025-06-03 00:00:00
131,P8435,2025/06/03 00:00,25.84,113.17,185.0,郴州市,望仙,苏仙区,22.94,100,988.0,19.7,50.2498,train,50.2498,2025-06-03 00:00:00
132,P7862,2025/06/03 00:00,25.86,112.21,200.0,永州市,五柳塘,新田县,22.16,96,984.2,19.8,44.6287,train,44.6287,2025-06-03 00:00:00
133,P7730,2025/06/03 00:00,25.87,111.72,610.0,永州市,上梧江,双牌县,19.61,100,939.7,17.2,58.7107,train,58.7107,2025-06-03 00:00:00
134,P8527,2025/06/03 00:00,25.89,113.38,353.9,郴州市,白廊,资兴市,19.83,87,969.1,19.6,46.7052,train,46.7052,2025-06-03 00:00:00
135,57971,2025/06/03 00:00,25.91,112.21,227.4,永州市,新田,新田县,23.91,98,982.7,20.7,51.1,test,51.1,2025-06-03 00:00:00
136,P8246,2025/06/03 00:00,25.91,113.13,118.0,郴州市,飞天山,苏仙区,22.76,91,993.0,21.1,54.0802,train,54.0802,2025-06-03 00:00:00
137,P8540,2025/06/03 00:00,25.92,113.7,786.3,郴州市,青山,桂东县,20.73,86,920.6,20.5,37.6542,train,37.6542,2025-06-03 00:00:00
138,P7725,2025/06/03 00:00,25.93,111.73,157.7,永州市,塘底,双牌县,23.08,100,988.9,19.8,51.8289,train,51.8289,2025-06-03 00:00:00
139,P8545,2025/06/03 00:00,25.93,113.87,850.0,郴州市,大塘,桂东县,22.51,100,913.0,19.4,42.8302,train,42.8302,2025-06-03 00:00:00
140,P7803,2025/06/03 00:00,25.94,111.95,367.0,永州市,刘家坪,宁远县,21.03,90,970.8,20.0,46.4843,test,46.4843,2025-06-03 00:00:00
