id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,id,predict,rh,sp,t2m,target
98,P8494,2025/06/03 00:00,25.68,113.49,294.0,郴州市,黄草,资兴市,22.62,98,973.7,19.8,35.2557,train,2025-06-03 00:00:00,543.0,43.143623,83.96,93296.35,18.82,543.0
99,P8353,2025/06/03 00:00,25.69,112.45,216.5,郴州市,乐塘,嘉禾县,23.42,99,982.5,20.2,50.5439,train,2025-06-03 00:00:00,532.0,45.393394,77.47,97065.15,19.76,532.0
100,P7734,2025/06/03 00:00,25.7,111.64,315.0,永州市,塘于洞,双牌县,21.3,94,973.6,19.5,42.8852,test,2025-06-03 00:00:00,528.0,45.249588,80.28,96453.95,19.6,528.0
101,P8350,2025/06/03 00:00,25.71,112.5,176.0,郴州市,茶坞,嘉禾县,22.3,96,988.3,19.9,46.5846,train,2025-06-03 00:00:00,533.0,45.601147,78.84,96936.75,19.73,533.0
102,P8377,2025/06/03 00:00,25.71,112.88,314.0,郴州市,四清水库,北湖区,20.64,90,973.4,19.7,45.9376,train,2025-06-03 00:00:00,537.0,45.433193,79.74,95915.95,19.26,537.0
103,P8682,2025/06/03 00:00,25.71,113.72,314.8,郴州市,文泉,汝城县,21.63,92,971.9,20.1,33.4336,train,2025-06-03 00:00:00,545.0,41.765804,86.85,92245.15,19.32,545.0
104,P7781,2025/06/03 00:00,25.73,112.09,319.0,永州市,保安,宁远县,20.12,84,970.3,20.4,26.5264,train,2025-06-03 00:00:00,529.0,47.359615,78.55,96599.55,19.63,529.0
105,P8483,2025/06/03 00:00,25.73,113.4,296.0,郴州市,高湾,资兴市,21.16,90,974.7,20.1,47.5403,test,2025-06-03 00:00:00,542.0,43.868923,82.64,93772.75,18.78,542.0
106,P8769,2025/06/03 00:00,25.73,113.84,476.0,郴州市,红星,汝城县,20.55,93,953.9,19.1,28.0963,train,2025-06-03 00:00:00,546.0,40.291508,89.45,92397.55,19.95,546.0
107,P8595,2025/06/03 00:00,25.74,112.4,201.0,郴州市,石市,嘉禾县,21.0,85,985.2,20.9,52.4717,train,2025-06-03 00:00:00,532.0,45.393394,77.47,97065.15,19.76,532.0
108,P8396,2025/06/03 00:00,25.74,112.85,263.4,郴州市,北湖机场,北湖区,21.83,94,978,19.9,37.4044,train,2025-06-03 00:00:00,536.0,45.591408,80.61,96179.55,19.39,536.0
109,57972,2025/06/03 00:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.91,97,966.4,18.7,46.1373,train,2025-06-03 00:00:00,538.0,46.166584,78.87,95652.35,19.13,538.0
110,P8760,2025/06/03 00:00,25.74,113.66,422.2,郴州市,淇岭,汝城县,21.27,91,958.4,20.0,32.9838,test,2025-06-03 00:00:00,545.0,41.765804,86.85,92245.15,19.32,545.0
111,P8233,2025/06/03 00:00,25.75,112.44,222.0,郴州市,芙蓉,嘉禾县,21.93,91,980.6,20.5,46.8023,train,2025-06-03 00:00:00,532.0,45.393394,77.47,97065.15,19.76,532.0
112,57973,2025/06/03 00:00,25.75,112.72,329.8,郴州市,桂阳,桂阳县,19.75,84,971,20.1,50.9,train,2025-06-03 00:00:00,566.0,45.141888,79.9,96902.35,19.7,566.0
113,P8385,2025/06/03 00:00,25.75,113.04,180.7,郴州市,物流园,北湖区,21.34,88,986.4,20.6,47.1287,train,2025-06-03 00:00:00,569.0,45.79347,78.32,96288.75,19.44,569.0
114,P8387,2025/06/03 00:00,25.75,113.06,255.0,郴州市,海泉,北湖区,23.23,100,981.4,19.9,54.8745,train,2025-06-03 00:00:00,539.0,45.327435,79.25,95198.35,18.97,539.0
115,P7855,2025/06/03 00:00,25.76,112.35,204.1,永州市,新隆,新田县,23.72,99,983.1,20.4,47.4698,test,2025-06-03 00:00:00,562.0,45.932724,75.24,97344.15,19.91,562.0
