time_utc,time_bj,latitude,longitude,t2m_K,sp_Pa,t2m_C
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.0,292.84546,98848.69,19.695465
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.25,292.865,98515.69,19.714996
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.5,293.0818,98078.69,19.931793
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.75,292.82007,96392.69,19.670074
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.0,293.23218,94843.69,20.082184
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.25,295.10132,95596.69,21.951324
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.5,296.92163,97694.69,23.771637
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.75,297.781,98735.69,24.631012
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,115.0,298.26343,98330.69,25.113434
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.0,292.85522,98449.69,19.70523
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.25,292.98218,98896.69,19.832184
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.5,293.1482,99327.69,19.9982
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.75,293.22437,99142.69,20.074371
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.0,293.11304,98636.69,19.963043
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.25,293.13257,98457.69,19.982574
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.5,292.8025,96965.69,19.652496
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.75,292.27124,94840.69,19.121246
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.0,292.54663,91656.69,19.396637
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.25,296.00757,94371.69,22.857574
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.5,298.17944,97077.69,25.02945
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.75,299.06616,97929.69,25.916168
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,115.0,299.49976,97276.69,26.349762
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.0,291.8318,96649.69,18.681793
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.25,292.02515,96953.69,18.875153
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.5,292.41187,97565.69,19.261871
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.75,293.01343,98217.69,19.863434
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.0,293.22046,98438.69,20.070465
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.25,292.9939,97694.69,19.843903
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.5,292.3396,95203.69,19.189606
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.75,291.96655,91271.69,18.816559
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.0,293.38452,88939.69,20.234528
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.25,297.48022,93763.69,24.33023
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.5,299.25366,96703.69,26.103668
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.75,299.97437,97431.69,26.824371
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,115.0,300.33765,97278.69,27.187653
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,112.0,291.01733,93681.69,17.86734
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,112.25,291.89624,95362.69,18.746246
