id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
154,P8318,2025-06-03 00:00:00,26.03,112.53,341.1,郴州市,欧阳海,桂阳县,19.5,77.0,967.9,21.3,54.1711,train
155,P8417,2025-06-03 00:00:00,26.04,112.74,467.6,郴州市,青兰,桂阳县,19.04,79.0,955.9,20.5,36.531,train
156,P8267,2025-06-03 00:00:00,26.04,112.92,110.0,郴州市,儒林,永兴县,22.47,84.0,993.3,22.2,41.1602,train
157,P8514,2025-06-03 00:00:00,26.04,113.39,1102.0,郴州市,十龙潭,资兴市,16.61,100.0,886.5,14.6,44.0303,train
158,P8676,2025-06-03 00:00:00,26.05,112.8,289.0,郴州市,油麻,永兴县,23.66,100.0,976.2,20.2,49.172,train
159,P6618,2025-06-03 00:00:00,26.06,110.15,539.1,邵阳市,五团,城步苗族自治县,21.28,100.0,946.5,18.5,33.6959,train
161,P8480,2025-06-03 00:00:00,26.06,113.28,140.0,郴州市,源兴,资兴市,23.43,96.0,991.0,20.7,57.0417,train
162,P3917,2025-06-03 00:00:00,26.08,109.55,455.3,怀化市,独坡,通道侗族自治县,20.2,92.0,957.6,19.0,36.8992,train
163,P4175,2025-06-03 00:00:00,26.08,109.81,407.3,怀化市,长安堡,通道侗族自治县,21.42,100.0,961.3,18.6,42.7479,train
164,P8481,2025-06-03 00:00:00,26.08,113.26,123.0,郴州市,东湾,资兴市,24.25,100.0,993.4,20.6,53.7077,train
165,57889,2025-06-03 00:00:00,26.08,113.94,834.1,郴州市,桂东,桂东县,18.42,75.0,914.5,20.8,36.1514,train
166,P8316,2025-06-03 00:00:00,26.09,112.47,307.0,郴州市,莲塘,桂阳县,21.27,83.0,973.7,21.5,43.2412,train
167,P6617,2025-06-03 00:00:00,26.1,110.28,777.7,邵阳市,汀坪,城步苗族自治县,19.36,100.0,919.3,17.0,35.1583,train
168,P8291,2025-06-03 00:00:00,26.1,112.86,185.6,郴州市,邝家,永兴县,22.48,91.0,986.7,20.9,40.4886,train
169,P8499,2025-06-03 00:00:00,26.1,113.54,620.0,郴州市,州门司,资兴市,19.73,100.0,937.6,17.3,49.2259,train
171,P7723,2025-06-03 00:00:00,26.12,111.91,1512.2,永州市,阳明山,双牌县,14.44,94.0,843.8,13.4,34.1585,train
172,57887,2025-06-03 00:00:00,26.12,113.11,169.4,郴州市,永兴,永兴县,22.59,86.0,988.8,21.9,53.5,train
173,P5837,2025-06-03 00:00:00,26.12,113.72,886.1,株洲市,龙凤,炎陵县,18.88,100.0,909.3,16.6,24.453,train
174,P8237,2025-06-03 00:00:00,26.13,112.81,199.0,郴州市,黄口堰水库,永兴县,22.9,91.0,982.5,21.2,45.2797,train
175,P7690,2025-06-03 00:00:00,26.14,111.71,295.0,永州市,克勤,零陵区,23.08,100.0,974.4,19.8,57.992,train
176,P8255,2025-06-03 00:00:00,26.14,112.38,972.0,郴州市,天塘山,桂阳县,16.48,89.0,900.4,16.3,38.7202,train
177,P6956,2025-06-03 00:00:00,26.15,112.51,188.0,衡阳市,庙前,常宁市,22.76,98.0,986.5,19.9,56.4501,train
178,P8304,2025-06-03 00:00:00,26.15,113.03,105.0,郴州市,洞洪,永兴县,21.8,81.0,995.4,22.3,43.2621,train
179,P8552,2025-06-03 00:00:00,26.15,114.13,489.0,郴州市,桥头,桂东县,21.74,99.0,953.1,19.0,35.4352,train
181,P6968,2025-06-03 00:00:00,26.16,112.68,69.6,衡阳市,白沙,常宁市,21.51,86.0,998.8,21.1,42.2829,train
182,P5820,2025-06-03 00:00:00,26.16,113.86,1183.6,株洲市,鑫山,炎陵县,16.61,100.0,878.5,14.6,39.7079,train
183,P6622,2025-06-03 00:00:00,26.17,110.12,1621.7,邵阳市,南山牧场,城步苗族自治县,12.69,81.0,833.8,13.7,27.984,train
185,P5830,2025-06-03 00:00:00,26.17,113.82,641.1,株洲市,平乐,炎陵县,22.15,99.0,937.3,19.3,32.9959,train
186,P8553,2025-06-03 00:00:00,26.17,114.18,454.2,郴州市,清泉,桂东县,22.24,100.0,958.6,19.2,33.3218,train
187,P6971,2025-06-03 00:00:00,26.19,112.27,670.0,衡阳市,塔山,常宁市,18.97,88.0,933.1,18.7,37.5078,train
188,P3914,2025-06-03 00:00:00,26.2,109.52,359.0,怀化市,播阳,通道侗族自治县,20.73,95.0,968.7,18.9,46.0299,train
189,P6957,2025-06-03 00:00:00,26.21,112.42,266.0,衡阳市,弥泉林场,常宁市,20.51,81.0,979.4,21.3,35.1552,train
191,P8279,2025-06-03 00:00:00,26.21,113.44,246.0,郴州市,大布江,永兴县,21.6,93.0,980.2,19.9,49.3693,train
192,P7517,2025-06-03 00:00:00,26.22,111.36,130.5,永州市,横糖,东安县,24.1,100.0,993.6,20.5,48.3755,train
193,57866,2025-06-03 00:00:00,26.23,111.62,173.4,永州市,永州,零陵区,22.1,94.0,988.8,20.1,52.0,train
194,P8073,2025-06-03 00:00:00,26.23,111.78,220.4,永州市,公龙岭,零陵区,23.37,94.0,983.3,21.0,47.9471,train
195,P5859,2025-06-03 00:00:00,26.23,113.77,420.4,株洲市,心田,炎陵县,22.66,100.0,959.2,19.5,32.8448,train
196,P5874,2025-06-03 00:00:00,26.23,113.96,1203.4,株洲市,鹫峰,炎陵县,15.84,96.0,876.2,14.5,42.5738,train
197,P6614,2025-06-03 00:00:00,26.24,110.37,544.1,邵阳市,白毛坪,城步苗族自治县,19.73,100.0,944.7,17.3,34.7059,train
198,P6978,2025-06-03 00:00:00,26.24,112.32,192.0,衡阳市,天堂山,常宁市,22.66,100.0,986.8,19.5,55.8938,train
199,P6958,2025-06-03 00:00:00,26.24,112.46,166.0,衡阳市,罗桥,常宁市,21.53,84.0,989.3,21.5,49.8662,train
201,P5834,2025-06-03 00:00:00,26.24,113.89,772.8,株洲市,下村,炎陵县,20.11,100.0,921.3,17.6,36.6509,train
202,P8261,2025-06-03 00:00:00,26.26,113.12,168.0,郴州市,水湄,永兴县,24.16,99.0,988.4,20.7,50.7629,train
203,P6967,2025-06-03 00:00:00,26.27,112.37,128.0,衡阳市,板桥,常宁市,22.33,80.0,994.4,22.9,51.2424,train
204,P6979,2025-06-03 00:00:00,26.27,112.6,140.0,衡阳市,西岭,常宁市,20.16,74.0,992.2,22.5,40.6513,train
205,P8677,2025-06-03 00:00:00,26.27,113.36,193.0,郴州市,大枧,永兴县,21.49,87.0,985.1,20.9,39.3199,train
206,P6613,2025-06-03 00:00:00,26.28,110.1,820.8,邵阳市,长安营,城步苗族自治县,19.24,100.0,915.6,16.9,34.8363,train
207,P4095,2025-06-03 00:00:00,26.29,109.94,433.1,怀化市,石岩,通道侗族自治县,19.88,94.0,959.2,18.4,38.582,train
208,P6579,2025-06-03 00:00:00,26.29,110.78,338.5,邵阳市,崀山,新宁县,21.96,100.0,970.1,19.0,40.0554,train
209,P7627,2025-06-03 00:00:00,26.29,112.1,148.3,永州市,金洞林场,祁阳市,22.69,93.0,990.4,20.7,46.6734,train
211,P8280,2025-06-03 00:00:00,26.29,113.46,217.0,郴州市,七甲,永兴县,21.93,91.0,982.2,20.5,46.5956,train
212,P6612,2025-06-03 00:00:00,26.3,110.42,606.8,邵阳市,兰蓉,城步苗族自治县,20.11,100.0,940.1,17.6,36.3158,train
213,P5833,2025-06-03 00:00:00,26.3,113.67,338.4,株洲市,船形,炎陵县,22.15,99.0,968.2,19.3,40.3248,train
214,P6977,2025-06-03 00:00:00,26.31,112.27,194.0,衡阳市,土桥,常宁市,22.03,87.0,986.3,21.3,41.1611,train
215,P7215,2025-06-03 00:00:00,26.31,112.74,120.8,衡阳市,磨形,耒阳市,23.57,99.0,995.1,20.3,57.4019,train
216,P8274,2025-06-03 00:00:00,26.31,113.22,184.2,郴州市,太和,永兴县,22.45,92.0,986.9,20.7,41.7902,train
217,P4023,2025-06-03 00:00:00,26.32,109.46,397.0,怀化市,靖州县新厂,靖州苗族侗族自治县,19.22,92.0,964.8,18.2,38.1542,train
218,P4093,2025-06-03 00:00:00,26.33,109.34,482.0,怀化市,平茶,靖州苗族侗族自治县,19.8,96.0,955.2,18.0,46.2591,train
219,P8236,2025-06-03 00:00:00,26.33,113.3,181.0,郴州市,石壁垄水库,永兴县,22.21,91.0,988.7,20.7,51.29,train
221,P6610,2025-06-03 00:00:00,26.35,110.24,424.5,邵阳市,丹口,城步苗族自治县,20.05,96.0,959.4,18.2,38.7754,train
222,P6953,2025-06-03 00:00:00,26.35,112.34,118.0,衡阳市,胜桥,常宁市,22.34,84.0,995.4,22.1,47.2805,train
223,P5871,2025-06-03 00:00:00,26.35,113.98,1503.3,株洲市,梨树洲,炎陵县,19.61,100.0,843.8,17.2,40.8376,train
